worker_id,name,phone,state,role,seniority,registered_on
W0001,Naresh Kumar,9181960013,UP,Field Surveyor,junior,2025-01-05
W0002,Lalita Kumari,9265423511,UP,Field Surveyor,junior,2025-01-05
W0003,Naresh Devi,9959310341,MH,Data Entry,junior,2025-01-05
W0004,Shanti Pandey,9483503056,MH,Field Surveyor,junior,2025-01-05
W0005,Ajay Verma,9884969653,UP,Field Surveyor,junior,2025-01-05
W0006,Vijay Nair,9784801845,MH,Crop Inspector,junior,2025-01-05
W0007,Sunita Reddy,9893252880,MH,Data Entry,junior,2025-01-05
W0008,Sarita Iyer,9182278248,MH,Field Surveyor,junior,2025-01-05
W0009,Dinesh Gupta,9930103105,MH,Data Entry,junior,2025-01-05
W0010,Kamala Rao,9311656670,MH,Crop Inspector,senior,2025-01-05
W0011,Sanjay Verma,9317810801,UP,Field Surveyor,junior,2025-01-05
W0012,Ramesh Devi,9872343098,UP,Crop Inspector,junior,2025-01-05
W0013,Renu Yadav,9361939909,MH,Field Surveyor,junior,2025-01-05
W0014,Sarita Patel,9475107991,UP,Field Surveyor,junior,2025-01-05
W0015,Meena Pandey,9980841241,UP,Data Entry,junior,2025-01-05
W0016,Geeta Reddy,9016400524,UP,Crop Inspector,senior,2025-01-05
W0017,Usha Singh,9620450533,UP,Data Entry,junior,2025-01-05
W0018,Sarita Pandey,9563421607,MH,Crop Inspector,junior,2025-01-05
W0019,Anita Devi,9458685014,UP,Crop Inspector,senior,2025-01-05
W0020,Vijay Nair,9340608835,MH,Crop Inspector,senior,2025-01-05
W0021,Renu Shah,9482366299,UP,Crop Inspector,junior,2025-01-05
W0022,Ajay Kumari,9721489513,UP,Data Entry,junior,2025-01-05
W0023,Ajay Bai,9763201632,MH,Data Entry,junior,2025-01-05
W0024,Asha Naidu,9868727743,UP,Crop Inspector,junior,2025-01-05
W0025,Sarita Patel,9122362316,UP,Crop Inspector,senior,2025-01-05
W0026,Suresh Iyer,9546688937,UP,Crop Inspector,junior,2025-01-05
W0027,Ajay Verma,9016272046,MH,Crop Inspector,junior,2025-01-05
W0028,Mukesh Rao,9531003309,MH,Data Entry,junior,2025-01-05
W0029,Mohit Pandey,9190496631,MH,Field Surveyor,senior,2025-01-05
W0030,Rohit Naidu,9850671657,UP,Data Entry,junior,2025-01-05
W0031,Vijay Iyer,9147379965,UP,Crop Inspector,senior,2025-01-05
W0032,Shanti Patel,9136783777,MH,Data Entry,senior,2025-01-05
W0033,Pooja Naidu,9855744431,UP,Crop Inspector,senior,2025-01-05
W0034,Sita Iyer,9435240824,UP,Field Surveyor,senior,2025-01-05
W0035,Rakesh Patel,9671902294,UP,Field Surveyor,senior,2025-01-05
W0036,Reena Iyer,9133412328,MH,Data Entry,senior,2025-01-05
